ii nvi-1.81.6_16                           The Berkeley Vi Editor
ii openssh-8.6p1_1                         OpenSSH free Secure Shell (SSH) client and server implementation
ii openssl-1.1.1k_1                        Toolkit for Secure Sockets Layer and Transport Layer Security
ii opus-1.3.1_1                            Totally open, royalty-free, highly versatile audio codec
ii orc-0.4.32_1                            Oild Runtime Compiler
ii os-prober-1.78_1                        Utility to detect other OSes on a set of drives
ii p11-kit-0.23.22_1                       Provides a way to load and enumerate PKCS#11 modules
ii pam-1.5.1_1                             Flexible mechanism for authenticating users
ii pam-base-0.4_1                          PAM base configuration files
ii pam-libs-1.5.1_1                        Flexible mechanism for authenticating users - runtime libraries
ii pango-1.48.4_1                          Library for layout and rendering of text
ii pangomm-2.46.0_1                        C++ bindings for the pango library
ii pavucontrol-4.0_2                       PulseAudio Volume Control
ii pciutils-3.7.0_1                        PCI bus related utilities
ii perl-5.32.1_2                           Practical Extraction and Report Language
ii perl-Authen-SASL-2.16_5                 Authen::SASL -- SASL authentication framework
ii perl-Convert-BinHex-1.125_3             Perl module to extract data from Macintosh BinHex files
ii perl-Digest-HMAC-1.03_4                 Perl interface to HMAC message-digest algorithms
ii perl-IO-Socket-SSL-2.070_1              IO::Socket::SSL -- SSL sockets with IO::Socket interface
ii perl-IO-stringy-2.113_2                 IO::stringy -- I/O on in-core objects like strings/arrays
ii perl-MIME-tools-5.509_3                 MIME-tools -- Parses streams to create MIME entities
ii perl-MailTools-2.21_2                   MailTools -- Various e-mail related modules
ii perl-Net-SMTP-SSL-1.04_2                Net::SMTP::SSL -- SSL support for Net::SMTP
ii perl-Net-SSLeay-1.90_2                  Net::SSLeay - Perl extension for using OpenSSL
ii perl-TimeDate-2.33_2                    TimeDate -- Date formating subroutines
ii perl-URI-5.07_1                         Perl Uniform Resource Identifiers class (URI, RFC 2396)
ii pinentry-1.1.1_1                        PIN or passphrase entry dialogs for GnuPG
ii pixman-0.40.0_1                         Library of low-level pixel manipulation routines
ii pkg-config-0.29.2_2                     System for managing library compile/link flags
ii playerctl-2.3.1_1                       MPRIS command-line controller and library
ii polkit-0.118_1                          Authorization Toolkit
ii popt-1.18_1                             Command line option parsing library
ii procps-ng-3.3.17_1                      Utilities for monitoring your system and its processes
ii pulseaudio-14.2_4                       Featureful, general-purpose sound server
ii pulseaudio-utils-14.2_4                 Featureful, general-purpose sound server - utilities
ii py3status-3.36_1                        Alternative i3bar implementation in Python3
ii python3-3.9.5_1                         Python programming language (3.9 series)
ii python3-cairo-1.20.0_1                  Python3 bindings for the cairo graphics library
ii python3-dbus-1.2.16_3                   D-Bus Python3 bindings
ii python3-gobject-3.40.1_1                Python3 bindings for GObject
ii python3-pip-21.1.1_1                    PyPA recommended tool for installing PyPI packages (Python3)
ii python3-pyudev-0.22.0_1                 Python bindings to libudev (Python3)
ii python3-setuptools-56.0.0_1             Easily build and distribute Python3 packages
ii python3-six-1.15.0_3                    Python 2 and 3 compatibility utilities (Python3)
ii removed-packages-0.1_44                 Uninstalls packages removed from repository
ii rhash-1.4.1_2                           Utility for computing hash sums and creating magnet links
ii rtkit-0.13_3                            Realtime Policy and Watchdog Daemon
ii run-parts-4.11.2_1                      Run scripts or programs in a directory
ii runit-2.1.2_11                          A UNIX init scheme with service supervision
ii runit-void-20210314_1                   Void Linux runit scripts
ii rxvt-unicode-9.22_15                    Terminal emulator supporting Xft fonts and Unicode
ii rxvt-unicode-terminfo-9.22_15           Terminal emulator supporting Xft fonts and Unicode - terminfo data
ii sbc-1.5_1                               Bluetooth Subband Codec (SBC) library
ii scrot-1.5_1                             Simple command-line screenshot utility for X
ii sed-4.8_1                               The GNU stream editor
ii setxkbmap-1.3.2_1                       Set the keyboard map using the X Keyboard Extension
ii shadow-4.8.1_1                          Shadow password file utilities
ii shared-mime-info-2.1_1                  Core database of common types
ii skim-0.9.4_1                            Fuzzy Finder in rust
ii speexdsp-1.2.0_1                        A free codec for free speech - DSP
ii sqlite-3.35.4_1                         SQL Database Engine in a C Library
ii startup-notification-0.12_10            Library for tracking application startup
ii sudo-1.9.6p1_1                          Allow others to run commands as root
ii tar-1.34_2                              GNU tape archiver with remote magnetic tape support
ii thin-provisioning-tools-0.8.5_1         Tools for manipulating the metadata of dm-thin device-mapper targets
ii tiff-4.3.0_1                            Library and tools for reading and writing TIFF data files
ii traceroute-2.1.0_3                      Traces the route taken by packets over an IPv4/IPv6 network
ii tzdata-2021a_1                          Time zone and daylight-saving time data
ii unibilium-2.0.0_1                       A simple, self-contained terminfo library
ii usbutils-013_1                          Linux USB utilities
ii util-linux-2.36.2_1                     Miscellaneous linux utilities
ii util-linux-libs-2.36.2_1                Miscellaneous linux utilities - meta libraries
ii void-artwork-20170517_3                 Void Linux artwork
ii void-docs-2020.12.23_1                  Documentation for Void Linux
ii void-docs-browse-2020.12.23_1           Documentation for Void Linux - browsing utilities
ii wayland-1.19.0_1                        Wayland protocol compositor
ii webrtc-audio-processing-0.3.1_1         AudioProcessing library based on Google's implementation of WebRTC
ii which-2.21_3                            Displays where a particular program in your path is located
ii wifi-firmware-1.3_4                     WiFi firmware meta-package
ii wpa_supplicant-2.9_5                    WPA/WPA2/IEEE 802.1X Supplicant
ii xauth-1.1_1                             X authentication utility
ii xbps-0.59.1_5                           XBPS package system utilities
ii xbps-triggers-0.120_1                   XBPS triggers for Void Linux
ii xcb-proto-1.14.1_1                      XML-XCB (X C Bindings) protocol descriptions
ii xcb-util-0.4.0_2                        XCB utilities library
ii xcb-util-cursor-0.1.3_1                 XCB cursor library (libxcursor port)
ii xcb-util-image-0.4.0_2                  Utility libraries for XC Binding - Port of Xlib's XImage and XShmImage functions
ii xcb-util-keysyms-0.4.0_3                Utility libraries for XC Binding - Standard X key constants and conversion to/from keycodes
ii xcb-util-renderutil-0.3.9_2             Utility libraries for XC Binding - Convenience functions for the Render extension
